Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1
off,off,off,off,off,off,on,78,68,78,78,68,78,66,56,66,66,56,66
off,off,off,off,off,on,on,78,68,78,78,68,78,66,56,66,66,56,66
off,off,off,off,on,off,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,off,off,on,on,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,off,on,off,off,on,78,68,78,78,68,78,66,56,66,66,56,66
off,off,off,on,off,on,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,off,on,on,off,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,off,on,on,on,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,on,off,off,off,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,on,off,off,on,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,on,off,on,off,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,on,off,on,on,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,on,on,off,off,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,on,on,off,on,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,on,on,on,off,on,78,68,78,68,68,68,66,56,66,66,56,66
off,off,on,on,on,on,on,78,68,78,68,68,68,66,56,66,66,56,66
off,on,off,off,off,off,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,off,off,off,on,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,off,off,on,off,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,off,off,on,on,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,off,on,off,off,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,off,on,off,on,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,off,on,on,off,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,off,on,on,on,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,on,off,off,off,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,on,off,off,on,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,on,off,on,off,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,on,off,on,on,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,on,on,off,off,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,on,on,off,on,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,on,on,on,off,any,78,68,78,50,50,50,50,50,50,50,50,50
off,on,on,on,on,on,any,78,68,78,50,50,50,50,50,50,50,50,50
off,off,off,any,off,any,off,78,68,78,78,68,78,66,56,66,66,56,66
off,off,on,any,off,any,off,78,68,78,68,68,68,66,56,66,66,56,66
off,off,off,any,on,any,off,78,68,78,68,68,68,66,56,66,66,56,66
on,off,off,off,off,off,on,78,68,78,78,68,78,66,56,66,66,56,66
on,off,off,off,off,on,on,78,68,78,76,68,76,66,56,66,66,56,66
on,off,off,off,on,off,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,off,off,on,on,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,off,on,off,off,on,78,68,78,76,68,76,66,56,66,66,56,66
on,off,off,on,off,on,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,off,on,on,off,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,off,on,on,on,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,on,off,off,off,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,on,off,off,on,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,on,off,on,off,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,on,off,on,on,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,on,on,off,off,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,on,on,off,on,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,on,on,on,off,on,78,68,78,62,62,62,62,56,62,62,56,62
on,off,on,on,on,on,on,78,68,78,62,62,62,62,56,62,62,56,62
on,on,off,off,off,off,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,off,off,off,on,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,off,off,on,off,any,78,68,78,50,50,50,50,50,50,50,50,50
on,on,off,off,on,on,any,78,68,78,50,50,50,50,50,50,50,50,50
